From,To,Distance (m),Travel Time (1-10),Traffic Density
Saigon Riverside Complex,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",414.68,8,low
Thiên Sơn Plaza,Boutique Charmés,415.36,8,medium
Boutique Charmés,Thiên Sơn Plaza,415.36,8,low
Bia Góc,"36A, Đường 81,",415.41,8,high
"36A, Đường 81,",Bia Góc,415.41,8,low
Mai Văn Vĩnh,Quán Rắn Hương Phù Sa,416.3,8,medium
Quán Rắn Hương Phù Sa,Mai Văn Vĩnh,416.3,8,high
Chè Thiên Đường,An Vegetarian,416.36,8,medium
An Vegetarian,Chè Thiên Đường,416.36,8,low
Siêu Thị K-Market,An Vegetarian,416.59,8,low
An Vegetarian,Siêu Thị K-Market,416.59,8,low
Quán Ăn An Ký,"15 Nguyen Cao,",418.21,8,low
"15 Nguyen Cao,",Quán Ăn An Ký,418.21,8,low
"1041/62/10 Trần Xuân Soạn,",Bệnh viện Tân Hưng,418.58,8,high
Bệnh viện Tân Hưng,"1041/62/10 Trần Xuân Soạn,",418.58,8,low
Nhà Thuốc An Khang,"15 Nguyen Cao,",420.05,8,medium
"15 Nguyen Cao,",Nhà Thuốc An Khang,420.05,8,medium
Thiên Sơn Plaza,Hỷ Lạc Bánh Mì Chay,421.3,8,low
Hỷ Lạc Bánh Mì Chay,Thiên Sơn Plaza,421.3,8,low
"163 đường 45,","67 Mai Văn Vĩnh,",422.54,8,low
"67 Mai Văn Vĩnh,","163 đường 45,",422.54,8,low
"67 Mai Văn Vĩnh,","170A Lâm Văn Bền, KP4,",424.89,8,low
"170A Lâm Văn Bền, KP4,","67 Mai Văn Vĩnh,",424.89,8,low
Siêu Thị K-Market,Hương Sen Spa,426.26,8,medium
Hương Sen Spa,Siêu Thị K-Market,426.26,8,medium
541 Huỳnh Tấn Phát,Tạp Hoá Ngọc Hân,426.57,8,low
Tạp Hoá Ngọc Hân,541 Huỳnh Tấn Phát,426.57,8,low
2/2 Đường Số 79,"170A Lâm Văn Bền, KP4,",427.18,8,medium
"170A Lâm Văn Bền, KP4,",2/2 Đường Số 79,427.18,8,low
Công viên Mỹ Kim,Quán Ăn An Ký,427.97,8,high
Quán Ăn An Ký,Công viên Mỹ Kim,427.97,8,low
Bia Góc,Quán Rắn Hương Phù Sa,428.71,8,low
Quán Rắn Hương Phù Sa,Bia Góc,428.71,8,low
Nhà Thuốc An Khang,호치민 지구촌 교회,430.9,8,high
호치민 지구촌 교회,Nhà Thuốc An Khang,430.9,8,low
Công viên Mỹ Kim,Si Cafe,431.03,8,low
Si Cafe,Công viên Mỹ Kim,431.03,8,low
Hà Huy Tập,An Vegetarian,432.74,8,low
An Vegetarian,Hà Huy Tập,432.74,8,low
British English Club,Nguyễn Văn Linh,433.96,8,medium
Nguyễn Văn Linh,British English Club,433.96,8,high
Công viên Mỹ Kim,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",434.35,8,medium
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Công viên Mỹ Kim,434.35,8,medium
Quận 7,803/23/10 Huỳnh Tấn Phát,435.58,8,low
803/23/10 Huỳnh Tấn Phát,Quận 7,435.58,8,low
Quán Cơm Tâm Mộc,An Vegetarian,437.11,8,high
An Vegetarian,Quán Cơm Tâm Mộc,437.11,8,medium
"163 đường 45,",Mai Văn Vĩnh,437.56,8,low
Mai Văn Vĩnh,"163 đường 45,",437.56,8,low
British English Club,Bia Góc,437.88,8,medium
Bia Góc,British English Club,437.88,8,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Công viên Mỹ Kim,438.76,8,medium
Công viên Mỹ Kim,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",438.76,8,low
"803/23/10 Huỳnh Tấn Phát,",Quận 7,438.81,8,low
Quận 7,"803/23/10 Huỳnh Tấn Phát,",438.81,8,low
Hương Sen Spa,Hà Huy Tập,442.63,8,high
Hà Huy Tập,Hương Sen Spa,442.63,8,medium
43 Đường Số 43,2/2 Đường Số 79,442.96,8,low
2/2 Đường Số 79,43 Đường Số 43,442.96,8,high
Hương Sen Spa,"1489 Nguyễn Văn Linh, Tòa IPC",444.9,8,low
"1489 Nguyễn Văn Linh, Tòa IPC",Hương Sen Spa,444.9,8,low
British English Club,Đầu bến Tân Quy,446.44,8,low
Đầu bến Tân Quy,British English Club,446.44,8,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Hương Sen Spa,448.44,8,low
Hương Sen Spa,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",448.44,8,low
Hương Sen Spa,Trung Tâm Mua Sắm Vivo City,450.42,9,low
Trung Tâm Mua Sắm Vivo City,Hương Sen Spa,450.42,9,high
Cà Phê Long Béo,Quán Rắn Hương Phù Sa,451.28,9,high
Quán Rắn Hương Phù Sa,Cà Phê Long Béo,451.28,9,medium
Mai Văn Vĩnh,WinMart+,452.95,9,low
WinMart+,Mai Văn Vĩnh,452.95,9,low
Sunrise Cityview - Sảnh A,"20/10 đường số 2,",454.57,9,medium
"20/10 đường số 2,",Sunrise Cityview - Sảnh A,454.57,9,medium
"67 Mai Văn Vĩnh,",Quán Rắn Hương Phù Sa,454.58,9,low
Quán Rắn Hương Phù Sa,"67 Mai Văn Vĩnh,",454.58,9,medium
Hương Sen Spa,Si Cafe,456.38,9,low
Si Cafe,Hương Sen Spa,456.38,9,low
Tịnh xá Ngọc Quy,"1489 Nguyễn Văn Linh, Tòa IPC",457.6,9,low
"1489 Nguyễn Văn Linh, Tòa IPC",Tịnh xá Ngọc Quy,457.6,9,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",불막열삼,457.89,9,low
불막열삼,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",457.89,9,low
Tạp Hoá Ngọc Hân,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",458.14,9,high
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",Tạp Hoá Ngọc Hân,458.14,9,low
"67 Mai Văn Vĩnh,","78B đường số 43, khu phố 4",458.18,9,low
"78B đường số 43, khu phố 4","67 Mai Văn Vĩnh,",458.18,9,low
Nguyễn Văn Linh,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",460.46,9,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Nguyễn Văn Linh,460.46,9,high
Siêu Thị K-Market,불막열삼,460.69,9,medium
불막열삼,Siêu Thị K-Market,460.69,9,medium
불막열삼,Si Cafe,462.41,9,low
Si Cafe,불막열삼,462.41,9,low
43 Đường Số 43,"67 Mai Văn Vĩnh,",465.63,9,low
"67 Mai Văn Vĩnh,",43 Đường Số 43,465.63,9,medium
Quán Ăn An Ký,불막열삼,466.47,9,medium
불막열삼,Quán Ăn An Ký,466.47,9,high
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",541 Huỳnh Tấn Phát,468.56,9,high
541 Huỳnh Tấn Phát,"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",468.56,9,high
"KC 52/13 HUYNH TAN PHAT KP3,",Tân Thuận Tây,469.33,9,medium
Tân Thuận Tây,"KC 52/13 HUYNH TAN PHAT KP3,",469.33,9,low
Nguyễn Văn Linh,"15 Nguyen Cao,",473.15,9,low
"15 Nguyen Cao,",Nguyễn Văn Linh,473.15,9,medium
British English Club,Cà Phê Long Béo,473.47,9,medium
Cà Phê Long Béo,British English Club,473.47,9,medium
"163 đường 45,",WinMart+,474.32,9,medium
WinMart+,"163 đường 45,",474.32,9,low
Hương Sen Spa,Quán Ăn An Ký,474.67,9,low
Quán Ăn An Ký,Hương Sen Spa,474.67,9,high
Si Cafe,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",476.52,9,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Si Cafe,476.52,9,medium
Quán Cơm Tâm Mộc,"1489 Nguyễn Văn Linh, Tòa IPC",477.65,9,low
"1489 Nguyễn Văn Linh, Tòa IPC",Quán Cơm Tâm Mộc,477.65,9,medium
Hà Huy Tập,불막열삼,480.37,9,low
불막열삼,Hà Huy Tập,480.37,9,low
"15 Nguyen Cao,",Si Cafe,483.87,9,high
Si Cafe,"15 Nguyen Cao,",483.87,9,high
Nguyễn Văn Linh,An Vegetarian,485.42,9,high
An Vegetarian,Nguyễn Văn Linh,485.42,9,high
Mai Văn Vĩnh,"170A Lâm Văn Bền, KP4,",487.84,9,low
"170A Lâm Văn Bền, KP4,",Mai Văn Vĩnh,487.84,9,low
Trường Tiểu học Nguyễn Văn Hưởng,Mầm non Ban Mai,487.89,9,low
Mầm non Ban Mai,Trường Tiểu học Nguyễn Văn Hưởng,487.89,9,low
WinMart+,Đầu bến Tân Quy,490.0,9,low
Đầu bến Tân Quy,WinMart+,490.0,9,low
Nguyễn Văn Linh,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",490.06,9,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Nguyễn Văn Linh,490.06,9,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",490.15,9,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","Chung cư mỹ cảnh, đường Phạm Thái Bường,",490.15,9,medium
Cà Phê Long Béo,Đại Lý Sơn Nuớc Trường Đạt,491.79,9,high
Đại Lý Sơn Nuớc Trường Đạt,Cà Phê Long Béo,491.79,9,medium
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",Trường Tiểu học Lê Anh Xuân,492.38,9,medium
Trường Tiểu học Lê Anh Xuân,"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",492.38,9,medium
불막열삼,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",492.75,9,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",불막열삼,492.75,9,low
Hà Huy Tập,Công viên Mỹ Kim,492.91,9,medium
Công viên Mỹ Kim,Hà Huy Tập,492.91,9,medium
Sunrise Cityview - Sảnh A,Phan Huy Thục,493.26,9,low
Phan Huy Thục,Sunrise Cityview - Sảnh A,493.26,9,low
Siêu Thị K-Market,Công viên Mỹ Kim,495.51,9,high
Công viên Mỹ Kim,Siêu Thị K-Market,495.51,9,high
Nhà Mẫu Phú Mỹ Hưng,McDonald's,496.81,9,low
McDonald's,Nhà Mẫu Phú Mỹ Hưng,496.81,9,medium
À La Main,Nguyễn Văn Linh,496.9,9,low
Nguyễn Văn Linh,À La Main,496.9,9,medium
"Chung cư mỹ cảnh, đường Phạm Thái Bường,","15 Nguyen Cao,",497.78,9,low
"15 Nguyen Cao,","Chung cư mỹ cảnh, đường Phạm Thái Bường,",497.78,9,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Bùi Văn Ba,501.87,10,low
Bùi Văn Ba,"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",501.87,10,medium
"KC 52/13 HUYNH TAN PHAT KP3,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",503.27,10,high
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","KC 52/13 HUYNH TAN PHAT KP3,",503.27,10,high
Nguyễn Văn Linh,"1489 Nguyễn Văn Linh, Tòa IPC",503.28,10,high
"1489 Nguyễn Văn Linh, Tòa IPC",Nguyễn Văn Linh,503.28,10,high
Hà Huy Tập,"1489 Nguyễn Văn Linh, Tòa IPC",504.26,10,low
"1489 Nguyễn Văn Linh, Tòa IPC",Hà Huy Tập,504.26,10,medium
WinMart+,"67 Mai Văn Vĩnh,",505.17,10,low
"67 Mai Văn Vĩnh,",WinMart+,505.17,10,medium
Katinat,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",505.36,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Katinat,505.36,10,low
Đại Lý Sơn Nuớc Trường Đạt,Đầu bến Tân Quy,506.17,10,low
Đầu bến Tân Quy,Đại Lý Sơn Nuớc Trường Đạt,506.17,10,low
"15 Nguyen Cao,",불막열삼,506.57,10,medium
불막열삼,"15 Nguyen Cao,",506.57,10,high
Mai Văn Vĩnh,"78B đường số 43, khu phố 4",506.87,10,high
"78B đường số 43, khu phố 4",Mai Văn Vĩnh,506.87,10,medium
Boutique Charmés,Circle K,508.3,10,low
Circle K,Boutique Charmés,508.3,10,low
"36A, Đường 81,",Đầu bến Tân Quy,510.21,10,medium
Đầu bến Tân Quy,"36A, Đường 81,",510.21,10,high
Siêu Thị K-Market,"1489 Nguyễn Văn Linh, Tòa IPC",511.02,10,medium
"1489 Nguyễn Văn Linh, Tòa IPC",Siêu Thị K-Market,511.02,10,medium
Katinat,"1489 Nguyễn Văn Linh, Tòa IPC",514.04,10,low
"1489 Nguyễn Văn Linh, Tòa IPC",Katinat,514.04,10,medium
Thiên Sơn Plaza,McDonald's,514.35,10,low
McDonald's,Thiên Sơn Plaza,514.35,10,low
Hà Huy Tập,Trường Quốc tế Nam Sài Gòn,514.73,10,medium
Trường Quốc tế Nam Sài Gòn,Hà Huy Tập,514.73,10,medium
Nguyễn Văn Linh,호치민 지구촌 교회,514.74,10,medium
호치민 지구촌 교회,Nguyễn Văn Linh,514.74,10,medium
Katinat,"15 Nguyen Cao,",515.66,10,low
"15 Nguyen Cao,",Katinat,515.66,10,low
Nguyễn Thị Thập,Bệnh viện Quận 7,516.4,10,high
Bệnh viện Quận 7,Nguyễn Thị Thập,516.4,10,medium
Nhà Thuốc An Khang,An Vegetarian,518.81,10,medium
An Vegetarian,Nhà Thuốc An Khang,518.81,10,medium
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",An Vegetarian,519.94,10,medium
An Vegetarian,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",519.94,10,high
À La Main,Cửa hàng Chuồn chuồn Đỏ,522.62,10,low
Cửa hàng Chuồn chuồn Đỏ,À La Main,522.62,10,high
Mai Văn Vĩnh,43 Đường Số 43,524.15,10,low
43 Đường Số 43,Mai Văn Vĩnh,524.15,10,high
Chè Thiên Đường,호치민 지구촌 교회,524.88,10,high
호치민 지구촌 교회,Chè Thiên Đường,524.88,10,low
Chè Thiên Đường,À La Main,527.35,10,low
À La Main,Chè Thiên Đường,527.35,10,medium
Thiên Sơn Plaza,Circle K,527.67,10,low
Circle K,Thiên Sơn Plaza,527.67,10,low
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",527.7,10,low
"Căn hộ 112, chung cư An Hoà 7, đường số 7,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",527.7,10,medium
"B4 Era Town, đường 15B,",Khu dân cư Kỷ Nguyên,529.62,10,high
Khu dân cư Kỷ Nguyên,"B4 Era Town, đường 15B,",529.62,10,low
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",Bùi Văn Ba,531.89,10,low
Bùi Văn Ba,"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",531.89,10,medium
Siêu Thị K-Market,Trường Quốc tế Nam Sài Gòn,532.05,10,high
Trường Quốc tế Nam Sài Gòn,Siêu Thị K-Market,532.05,10,low
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",534.9,10,low
"Căn hộ 112, chung cư An Hoà 7, đường số 7,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",534.9,10,medium
"6/57 Trần Văn Khánh,",Tân Thuận Tây,535.84,10,medium
Tân Thuận Tây,"6/57 Trần Văn Khánh,",535.84,10,high
Trung Tâm Mua Sắm Vivo City,불막열삼,536.31,10,high
불막열삼,Trung Tâm Mua Sắm Vivo City,536.31,10,medium
"1489 Nguyễn Văn Linh, Tòa IPC",불막열삼,536.58,10,high
불막열삼,"1489 Nguyễn Văn Linh, Tòa IPC",536.58,10,high
Đầu bến Tân Quy,불막열삼,537.06,10,low
불막열삼,Đầu bến Tân Quy,537.06,10,low
"803/23/10 Huỳnh Tấn Phát,",Trường Tiểu học Lê Anh Xuân,538.56,10,high
Trường Tiểu học Lê Anh Xuân,"803/23/10 Huỳnh Tấn Phát,",538.56,10,high
803/23/10 Huỳnh Tấn Phát,Trường Tiểu học Lê Anh Xuân,540.76,10,high
Trường Tiểu học Lê Anh Xuân,803/23/10 Huỳnh Tấn Phát,540.76,10,high
Cầu Kênh Tẻ,645/51E Đ. Trần Xuân Soạn,541.16,10,low
645/51E Đ. Trần Xuân Soạn,Cầu Kênh Tẻ,541.16,10,low
Bia Góc,Đại Lý Sơn Nuớc Trường Đạt,543.68,10,medium
Đại Lý Sơn Nuớc Trường Đạt,Bia Góc,543.68,10,low
541 Huỳnh Tấn Phát,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",544.81,10,low
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",541 Huỳnh Tấn Phát,544.81,10,medium
Quán Cơm Tâm Mộc,Công viên Mỹ Kim,545.5,10,low
Công viên Mỹ Kim,Quán Cơm Tâm Mộc,545.5,10,high
Nhà Mẫu Phú Mỹ Hưng,Parkson,545.56,10,low
Parkson,Nhà Mẫu Phú Mỹ Hưng,545.56,10,high
"Tòa Nhà Xưởng B,","35/4 Hẻm 39 Đường Bùi Văn Ba,",552.21,10,medium
"35/4 Hẻm 39 Đường Bùi Văn Ba,","Tòa Nhà Xưởng B,",552.21,10,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Trường Quốc tế Nam Sài Gòn,553.8,10,low
Trường Quốc tế Nam Sài Gòn,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",553.8,10,low
Tịnh xá Ngọc Quy,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",553.91,10,low
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",Tịnh xá Ngọc Quy,553.91,10,low
Chè Thiên Đường,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",556.25,10,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Chè Thiên Đường,556.25,10,high
Trường Quốc tế Nam Sài Gòn,Si Cafe,557.18,10,medium
Si Cafe,Trường Quốc tế Nam Sài Gòn,557.18,10,low
Khu phức hợp La Casa,1627/50/3a Đường Đào Trí,562.58,10,high
1627/50/3a Đường Đào Trí,Khu phức hợp La Casa,562.58,10,high
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Bùi Văn Ba,563.86,10,low
Bùi Văn Ba,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",563.86,10,low
Katinat,Công viên Mỹ Kim,565.19,10,low
Công viên Mỹ Kim,Katinat,565.19,10,high
"6/57 Trần Văn Khánh,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",565.28,10,low
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","6/57 Trần Văn Khánh,",565.28,10,low
Cà Phê Long Béo,Katinat Nguyễn Thị Thập,565.46,10,high
Katinat Nguyễn Thị Thập,Cà Phê Long Béo,565.46,10,high
Nguyễn Thị Thập,Bệnh viện Quận 7,566.01,10,high
Bệnh viện Quận 7,Nguyễn Thị Thập,566.01,10,high
Hương Sen Spa,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",566.35,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Hương Sen Spa,566.35,10,high
Nguyễn Văn Linh,Trung Tâm Mua Sắm Vivo City,567.06,10,low
Trung Tâm Mua Sắm Vivo City,Nguyễn Văn Linh,567.06,10,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,","1489 Nguyễn Văn Linh, Tòa IPC",570.12,10,low
"1489 Nguyễn Văn Linh, Tòa IPC","Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",570.12,10,low
Nhà Thuốc An Khang,"1489 Nguyễn Văn Linh, Tòa IPC",573.33,10,medium
"1489 Nguyễn Văn Linh, Tòa IPC",Nhà Thuốc An Khang,573.33,10,low
Hương Sen Spa,Đầu bến Tân Quy,573.51,10,medium
Đầu bến Tân Quy,Hương Sen Spa,573.51,10,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",577.29,10,low
"Căn hộ 112, chung cư An Hoà 7, đường số 7,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",577.29,10,high
Nguyễn Thị Thập,"170A Lâm Văn Bền, KP4,",578.16,10,medium
"170A Lâm Văn Bền, KP4,",Nguyễn Thị Thập,578.16,10,low
Hương Sen Spa,"15 Nguyen Cao,",580.05,10,medium
"15 Nguyen Cao,",Hương Sen Spa,580.05,10,low
British English Club,Katinat,580.3,10,medium
Katinat,British English Club,580.3,10,high
Nguyễn Thị Thập,"67 Mai Văn Vĩnh,",581.07,10,low
"67 Mai Văn Vĩnh,",Nguyễn Thị Thập,581.07,10,low
Quán Cơm Tâm Mộc,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",582.42,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Quán Cơm Tâm Mộc,582.42,10,medium
Đầu bến Tân Quy,Katinat Nguyễn Thị Thập,582.77,10,low
Katinat Nguyễn Thị Thập,Đầu bến Tân Quy,582.77,10,medium
Trạm Xe Bus Công Ty Nidec,"fpt tân thuận 3- lô b3, đường sáng tạo, khu e-office, khu chế xuất tân thuận, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",583.67,10,low
"fpt tân thuận 3- lô b3, đường sáng tạo, khu e-office, khu chế xuất tân thuận, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Trạm Xe Bus Công Ty Nidec,583.67,10,low
Quán Cơm Tâm Mộc,Trường Quốc tế Nam Sài Gòn,586.19,10,low
Trường Quốc tế Nam Sài Gòn,Quán Cơm Tâm Mộc,586.19,10,medium
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",803/23/10 Huỳnh Tấn Phát,587.25,10,low
803/23/10 Huỳnh Tấn Phát,"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",587.25,10,low
